Company name;NACE Code;Portfolio Weight (%);Taxonomy Eligibility; EU Taxonomy alignment (%);Green Asset ;;;
LVMH;C15.12;6.42;X;;;;;
Hermès;C15.12;4.2;X;;;;;
L'Oréal;C20.42;5.05;X;;;;;
Airbus;C30.30;6.08;O;1;;;;
EssilorLuxottica;C32.50;4.3;X;;;;;
Schneider Electric;C27.12;7.53;O;28;;;;
TotalEnergies;C19.20;6.85;O;18;;;;
Safran;C30.30;5.78;O;1;;;;
Sanofi;C21.20;5.42;X;;;;;
Air Liquide;C20.11;5.84;O;10;;;;
Vinci;F42.11;3.82;O;8;;;;
ENGIE;D35.11;2.1;O;45;;;;
Danone;C10.51;2.58;X;;;;;
Thales;C26.30;1.51;O;1;;;;
Compagnie de Saint-Gobain;C23.10;2.61;O;22;;;;
Orange;J61.20;1.39;X;;;;;
Kering;G47.71;0.79;X;;;;;
Legrand;C27.33;1.72;O;20;;;;
Dassault Systèmes;J58.29;1.19;O;1;;;;
ArcelorMittal;C24.10;0.66;O;4;;;;
Stellantis;C29.10;1.04;O;12;;;;
Capgemini;J62.02;1.3;O;1;;;;
Publicis Groupe;M73.11;1.26;X;;;;;
Veolia;E38.21;1.2;O;35;;;;
Pernod Ricard;C11.01;0.99;X;;;;;
Michelin;C22.11;1.3;O;1;;;;
STMicroelectronics;C26.11;0.95;O;1;;;;
Bouygues;F42.11;0.42;O;8;;;;
Unibail-Rodamco-Westfield;L68.20;0.55;O;15;;;;
Accor;I55.10;0.53;X;;;;;
Eurofins Scientific;C29.10;0.44;O;1;;;;
Renault;M71.20;0.47;O;15;;;;
Carrefour;G47.11;0.37;X;;;;;
Edenred;J63.11;0.38;O;1;;;;
Teleperformance;N82.20;0.27;X;;;;;
bureau veritas;M71.20;0.57;O;1;;;;
BNP Parisbas;K64.19;4.73;N/A;;;;;
AXA;K65.11;4.5;N/A;;;;;
Societe generale;K64.19;2.05;N/A;;;;;
credit agricole;K64.19;0.84;N/A;;;;;
